time (UTC),latitude (degrees_north),longitude (degrees_east),temperature (degree_C),pressure (dbar)
2013-10-16 20:28:31,43.351969089878544,-65.23054225196475,15.261199951171877,12.380000114440918
2013-10-16 20:28:51,43.351925187044536,-65.23054420957371,15.16230010986328,10.529999732971191
2013-10-16 20:29:11,43.35188128421053,-65.23054616718267,14.826299667358398,8.690000534057617
2013-10-16 20:29:31,43.35183738137652,-65.23054812479161,15.047100067138672,6.690000534057617
2013-10-16 20:29:51,43.35179347854251,-65.23055008240057,14.956199645996094,4.880000114440918
2013-10-16 20:34:00,43.35124688825911,-65.23057445463205,7.071899890899658,45.44000244140625
2013-10-16 20:34:20,43.351202985425104,-65.230576412241,7.406000137329102,43.69999694824219
2013-10-16 20:34:41,43.35115688744939,-65.23057846773041,7.8719000816345215,41.98999786376953
2013-10-16 20:35:00,43.35111517975709,-65.23058032745892,9.031100273132324,40.25
2013-10-16 20:35:20,43.35107127692308,-65.23058228506787,10.720000267028809,38.459999084472656
2013-10-16 20:35:40,43.35102737408907,-65.23058424267683,13.128199577331545,36.84000015258789
2013-10-16 20:36:00,43.35098347125506,-65.23058620028579,14.108400344848633,35.31999969482422
2013-10-16 20:36:21,43.35093737327935,-65.23058825577519,14.547100067138672,33.599998474121094
2013-10-16 20:36:40,43.350895665587046,-65.23059011550369,15.074399948120115,31.61000061035156
2013-10-16 20:37:00,43.35085176275304,-65.23059207311265,15.213899612426758,29.75
2013-10-16 20:37:21,43.350805664777326,-65.23059412860205,15.236499786376951,27.969999313354492
2013-10-16 20:37:40,43.35076395708502,-65.23059598833055,15.248299598693848,26.21000099182129
2013-10-16 20:38:00,43.35072005425101,-65.23059794593951,15.259699821472168,24.400001525878903
2013-10-16 20:38:21,43.3506739562753,-65.23060000142891,15.263999938964844,22.479999542236328
2013-10-16 20:38:40,43.350632248583,-65.23060186115742,15.267600059509276,20.6200008392334
2013-10-16 20:39:00,43.35058834574899,-65.23060381876637,15.2677001953125,18.689998626708984
2013-10-16 20:39:21,43.35054224777328,-65.23060587425577,15.265199661254885,16.81999969482422
2013-10-16 20:39:40,43.35050054008097,-65.23060773398429,14.98390007019043,14.809999465942385
2013-10-16 20:40:00,43.35045663724696,-65.23060969159323,14.8149995803833,12.480000495910645
2013-10-16 20:40:20,43.35041273441296,-65.23061164920219,15.031200408935549,9.84000015258789
2013-10-16 20:40:40,43.35036883157895,-65.23061360681115,14.857099533081056,7.62000036239624
2013-10-16 20:41:00,43.35032492874494,-65.2306155644201,14.758500099182127,5.75
2013-10-16 20:41:20,43.35028102591093,-65.23061752202905,14.748600006103516,3.919999837875366
2013-10-16 20:45:36,43.349719069635626,-65.23064257942367,7.04640007019043,43.220001220703125
2013-10-16 20:45:56,43.34967516680162,-65.23064453703263,7.621699810028076,40.970001220703125
2013-10-16 20:46:16,43.34963126396761,-65.23064649464158,8.2322998046875,38.68000030517578
2013-10-16 20:46:36,43.3495873611336,-65.23064845225053,11.84220027923584,36.880001068115234
2013-10-16 20:46:56,43.34954345829959,-65.23065040985949,13.790599822998049,35.58000183105469
2013-10-16 20:47:16,43.349499555465584,-65.23065236746845,14.568499565124512,34.150001525878906
2013-10-16 20:47:37,43.34945345748988,-65.23065442295784,15.015199661254885,32.52000045776367
2013-10-16 20:47:56,43.34941174979757,-65.23065628268635,15.145400047302246,30.90999984741211
2013-10-16 20:48:16,43.34936784696356,-65.23065824029531,15.21679973602295,29.36000061035156
2013-10-16 20:48:37,43.349321748987855,-65.23066029578472,15.234999656677246,27.760000228881836
2013-10-16 20:48:56,43.34928004129555,-65.23066215551322,15.2475004196167,26.079999923706055
2013-10-16 20:49:16,43.34923613846154,-65.23066411312217,15.26319980621338,24.36000061035156
2013-10-16 20:49:37,43.34919004048583,-65.23066616861158,15.269100189208984,22.579998016357425
2013-10-16 20:49:56,43.349148332793526,-65.23066802834008,15.266799926757812,20.899999618530273
2013-10-16 20:50:16,43.34910442995952,-65.23066998594904,15.258700370788574,19.229999542236328
2013-10-16 20:50:36,43.34906052712551,-65.230671943558,15.222200393676758,17.549999237060547
2013-10-16 20:50:56,43.3490166242915,-65.23067390116694,14.785699844360352,15.980000495910645
2013-10-16 20:51:16,43.34897272145749,-65.2306758587759,15.047599792480469,14.309999465942385
2013-10-16 20:51:36,43.348928818623484,-65.23067781638485,15.008399963378906,12.719999313354492
2013-10-16 20:51:56,43.34888491578947,-65.23067977399381,14.809100151062012,11.210000991821287
2013-10-16 20:52:16,43.34884101295547,-65.23068173160276,14.774800300598145,9.649999618530272
2013-10-16 20:52:37,43.34879491497976,-65.23068378709216,14.760499954223633,8.149999618530273
2013-10-16 20:52:56,43.34875320728745,-65.23068564682067,14.750900268554688,6.519999980926514
2013-10-16 20:53:16,43.34870930445344,-65.23068760442962,14.750399589538574,4.639999866485596
2013-10-16 20:57:18,43.348178080161944,-65.23071129149798,7.799499988555908,43.08000183105469
2013-10-16 20:57:38,43.348134177327935,-65.23071324910693,7.790999889373779,41.11000061035156
2013-10-16 20:57:59,43.34808807935223,-65.23071530459633,8.099100112915039,38.95000076293945
2013-10-16 20:58:18,43.34804637165992,-65.23071716432484,8.779899597167969,36.939998626708984
2013-10-16 20:58:38,43.34800246882591,-65.23071912193379,9.443599700927734,34.92000198364258
2013-10-16 20:58:58,43.3479585659919,-65.23072107954275,10.671299934387209,32.81999969482422
2013-10-16 20:59:18,43.347914663157894,-65.2307230371517,12.079299926757812,30.760000228881836
2013-10-16 20:59:38,43.347870760323886,-65.23072499476066,13.26099967956543,29.11000061035156
2013-10-16 20:59:58,43.34782685748988,-65.23072695236961,14.508099555969238,27.709999084472656
2013-10-16 21:00:18,43.34778295465587,-65.23072890997857,15.122699737548828,26.329998016357425
2013-10-16 21:00:38,43.34773905182186,-65.23073086758752,15.24120044708252,25.03999900817871
2013-10-16 21:00:59,43.34769295384616,-65.23073292307693,15.244000434875488,23.649999618530273
2013-10-16 21:01:18,43.347651246153845,-65.23073478280543,15.26259994506836,22.079999923706055
2013-10-16 21:01:38,43.34760734331984,-65.23073674041439,15.268199920654297,20.290000915527344
2013-10-16 21:01:58,43.34756344048583,-65.23073869802334,15.264200210571287,18.40999984741211
2013-10-16 21:02:18,43.34751953765182,-65.23074065563229,15.042699813842772,16.59000015258789
2013-10-16 21:02:38,43.34747563481781,-65.23074261324125,15.01949977874756,14.720000267028809
2013-10-16 21:02:59,43.34742953684211,-65.23074466873065,14.994400024414062,12.84999942779541
2013-10-16 21:03:18,43.347387829149795,-65.23074652845915,14.79599952697754,11.119999885559082
2013-10-16 21:03:38,43.34734392631579,-65.23074848606811,14.758000373840332,9.5
2013-10-16 21:03:59,43.34729782834008,-65.23075054155751,14.757800102233888,7.850000381469727
2013-10-16 21:04:18,43.34725612064777,-65.23075240128603,14.75749969482422,6.119999885559082
2013-10-16 21:04:38,43.34721221781376,-65.23075435889497,14.75790023803711,4.25
2013-10-16 21:18:16,43.34541659190283,-65.23083442510121,6.218999862670898,119.87000274658205
2013-10-16 21:18:36,43.345372689068824,-65.23083638271017,6.224899768829346,117.79000091552734
2013-10-16 21:18:56,43.345328786234816,-65.23083834031912,6.218500137329102,115.0
2013-10-16 21:19:16,43.34528488340081,-65.23084029792808,6.168799877166748,112.08000183105467
2013-10-16 21:19:36,43.3452409805668,-65.23084225553703,6.128900051116943,109.20999145507812
2013-10-16 21:19:56,43.34519707773279,-65.23084421314599,6.1265997886657715,106.42999267578124
2013-10-16 21:20:16,43.34515317489878,-65.23084617075494,6.076700210571289,103.52999877929688
2013-10-16 21:20:36,43.345109272064775,-65.2308481283639,6.029099941253662,100.56999969482422
2013-10-16 21:20:57,43.34506317408907,-65.23085018385329,5.900599956512451,97.65999603271484
2013-10-16 21:21:16,43.34502146639676,-65.2308520435818,5.924600124359131,94.75
2013-10-16 21:21:36,43.34497756356275,-65.23085400119076,5.595399856567383,91.95999908447266
2013-10-16 21:21:57,43.344931465587045,-65.23085605668017,5.594900131225586,89.0999984741211
2013-10-16 21:22:16,43.344889757894734,-65.23085791640867,5.5960001945495605,86.28999328613281
2013-10-16 21:22:36,43.344845855060726,-65.23085987401763,5.376200199127197,83.54999542236328
2013-10-16 21:22:57,43.34479975708502,-65.23086192950703,5.572700023651123,80.74000549316406
2013-10-16 21:23:16,43.34475804939272,-65.23086378923553,5.5802998542785645,77.83000183105469
2013-10-16 21:23:36,43.34471414655871,-65.23086574684449,5.498899936676025,74.88999938964844
2013-10-16 21:23:57,43.34466804858299,-65.23086780233389,5.500100135803223,71.97000122070312
2013-10-16 21:24:16,43.34462634089069,-65.23086966206239,5.441999912261963,68.94999694824219
2013-10-16 21:24:36,43.34458243805668,-65.23087161967135,5.537700176239014,65.70000457763672
2013-10-16 21:24:57,43.34453634008097,-65.23087367516075,5.832900047302246,62.42000198364258
2013-10-16 21:25:16,43.34449463238867,-65.23087553488926,6.206900119781494,59.220001220703125
2013-10-16 21:25:36,43.34445072955466,-65.23087749249821,5.7241997718811035,55.96000289916992
2013-10-16 21:25:57,43.344404631578946,-65.23087954798761,5.2677001953125,52.68000030517578
2013-10-16 21:26:16,43.34436292388664,-65.23088140771613,5.177199840545654,49.5
2013-10-16 21:26:36,43.344319021052634,-65.23088336532507,5.901400089263916,46.39999771118164
2013-10-16 21:26:57,43.34427292307692,-65.23088542081447,6.717700004577637,43.029998779296875
2013-10-16 21:27:16,43.34423121538462,-65.23088728054299,7.347599983215332,39.73999786376953
2013-10-16 21:27:36,43.34418731255061,-65.23088923815195,8.115099906921387,36.70000076293945
2013-10-16 21:27:56,43.3441434097166,-65.23089119576089,8.760299682617188,34.130001068115234
2013-10-16 21:28:16,43.34409950688259,-65.23089315336985,9.158300399780272,31.739999771118164
2013-10-16 21:28:36,43.344055604048584,-65.2308951109788,11.739399909973145,29.809999465942383
2013-10-16 21:28:57,43.34400950607287,-65.23089716646821,12.717100143432615,28.23999786376953
2013-10-16 21:29:16,43.34396779838057,-65.23089902619671,14.23330020904541,26.900001525878903
2013-10-16 21:29:37,43.343921700404856,-65.23090108168611,15.151200294494627,25.450000762939453
2013-10-16 21:29:56,43.34387999271255,-65.23090294141463,15.193599700927734,23.989999771118164
2013-10-16 21:30:16,43.34383608987854,-65.23090489902357,15.255999565124512,22.520000457763672
2013-10-16 21:30:37,43.34378999190283,-65.23090695451297,15.270500183105469,20.959999084472656
2013-10-16 21:30:56,43.34374828421053,-65.23090881424149,15.280500411987305,19.279998779296875
2013-10-16 21:31:16,43.34370438137652,-65.23091077185045,15.264100074768066,17.600000381469727
2013-10-16 21:31:36,43.34366047854251,-65.23091272945939,15.241499900817873,15.970000267028809
2013-10-16 21:31:56,43.3436165757085,-65.23091468706835,15.08780002593994,14.429999351501465
2013-10-16 21:32:16,43.343572672874494,-65.23091664467731,14.972100257873535,12.979999542236328
2013-10-16 21:32:36,43.343528770040486,-65.23091860228625,15.017000198364258,11.420000076293944
2013-10-16 21:32:57,43.34348267206478,-65.23092065777566,15.012200355529783,9.899999618530272
2013-10-16 21:33:16,43.34344096437247,-65.23092251750417,14.933300018310549,8.489999771118164
2013-10-16 21:33:36,43.34339706153846,-65.23092447511313,14.818300247192385,6.869999885559082
2013-10-16 21:33:57,43.34335096356275,-65.23092653060253,14.795599937438965,4.949999809265137
2013-10-16 21:38:31,43.34274949473684,-65.2309533498452,5.970900058746338,47.61000061035156
2013-10-16 21:38:51,43.342705591902835,-65.23095530745415,6.5640997886657715,45.529998779296875
2013-10-16 21:39:11,43.34266168906883,-65.23095726506311,7.273499965667725,43.290000915527344
2013-10-16 21:39:31,43.34261778623482,-65.23095922267207,7.8755998611450195,40.8900032043457
2013-10-16 21:39:51,43.34257388340081,-65.23096118028101,8.226699829101562,38.48999786376953
2013-10-16 21:40:11,43.3425299805668,-65.23096313788997,8.626700401306152,36.099998474121094
